w입국자국가w국가코드w입국년월w입국자 수
0w일본w130w201601w136884
1w일본w130w201602w144493
2w일본w130w201603w224328
3w일본w130w201604w175283
4w일본w130w201605w178735
5w일본w130w201606w180192
6w일본w130w201607w186194
7w일본w130w201608w225456
8w일본w130w201609w208759
9w일본w130w201610w227149
10w일본w130w201611w213211
11w일본w130w201612w197209
12w일본w130w201701w154862
13w일본w130w201702w185032
14w일본w130w201703w274478
15w일본w130w201704w165748
16w일본w130w201705w159379
17w일본w130w201706w167785
18w일본w130w201707w170634
19w일본w130w201708w226735
20w일본w130w201709w219968
21w일본w130w201710w179661
22w일본w130w201711w213460
23w일본w130w201712w193705
24w일본w130w201801w167083
25w일본w130w201802w168241
26w일본w130w201803w294476
27w일본w130w201804w213853
28w일본w130w201805w227230
29w일본w130w201806w235293
30w일본w130w201807w230512
31w일본w130w201808w315025
32w일본w130w201809w247847
33w일본w130w201810w290468
34w일본w130w201811w299978
35w일본w130w201812w258521
36w일본w130w201901w206526
37w일본w130w201902w213200
38w일본w130w201903w375119
39w일본w130w201904w290092
40w일본w130w201905w286273
41w일본w130w201906w282476
42w일본w130w201907w274830
43w일본w130w201908w329652
44w일본w130w201909w251119
45w일본w130w201910w248541
46w일본w130w201911w258522
47w일본w130w201912w255356
48w일본w130w202001w203969
49w일본w130w202002w211199
50w일본w130w202003w8347
51w일본w130w202004w360
52w일본w130w202005w413
53w일본w130w202006w498
54w일본w130w202007w755
55w일본w130w202008w1275
56w일본w130w202009w794
57w일본w130w202010w927
58w일본w130w202011w1254
59w일본w130w202012w951
60w일본w130w202101w1299
61w일본w130w202102w1719
62w일본w130w202103w949
63w일본w130w202104w872
64w일본w130w202105w1403
65w일본w130w202106w875
66w일본w130w202107w881
67w일본w130w202108w2258
68w일본w130w202109w1142
69w일본w130w202110w1237
70w일본w130w202111w1623
71w일본w130w202112w1007
