강원도 강릉시 포남동,대인4,강릉대로469번길 14
강원도 동해시 발한동,성남2차,발한로 142
강원도 원주시 단계동,라이프타운,백간길 72
강원도 원주시 단계동,라이프타운,백간길 72
강원도 춘천시 퇴계동,그린타운삼익코오롱,춘주로 174
강원도 춘천시 퇴계동,금호2차,안마산로 214
