"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","118.0686","202211","15","47,000","3","2009","화부산로111번길 24","","직거래","-"
"강원도 강릉시 교동","18-16","0018","0016","교동대림","59.84","202211","25","11,000","2","1997","수리골길17번길 21","","직거래","-"
"강원도 강릉시 교동","357","0357","0000","교동이-편한세상","84.7155","202211","7","40,000","12","2006","종합운동장길 92","","직거래","-"
"강원도 강릉시 교동","1780","1780","0000","부영3차","84.93","202211","18","32,000","8","2001","하슬라로 124","","중개거래","강원 강릉시"
"강원도 강릉시 남문동","183-2","0183","0002","삼익그린맨션","84.08","202211","10","21,000","5","1992","홍제로 7-17","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","58.74","202211","4","9,000","2","1993","남부로125번길 37","","중개거래","서울 은평구"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","58.74","202211","18","12,300","1","1993","남부로125번길 37","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","59.84","202211","7","17,500","5","1998","범일로 645","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","756","0756","0000","석미모닝파크","84.3","202211","29","21,500","12","2008","남산초교길11번길 12-5","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","59.994","202211","28","16,000","2","2000","남부로125번길 7","","직거래","-"
"강원도 강릉시 노암동","385","0385","0000","한라2","59.989","202211","25","14,700","8","1995","남부로191번길 21","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","1063","1063","0000","강릉송정한신더휴","84.9955","202211","20","39,500","4","2019","경강로 2448","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","110-5","0110","0005","비치소라","54.03","202211","26","11,000","2","1987","팔송길 26","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","216-4","0216","0004","소라임대","56.34","202211","5","11,000","5","1985","송정길 20","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","14-8","0014","0008","해변소라","24.84","202211","14","5,700","2","1988","팔송길18번길 17","","직거래","-"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","30.24","202211","1","5,030","6","1999","연주로 132","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","43.2","202211","1","9,000","10","1999","연주로 132","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","43.2","202211","28","8,500","4","1999","연주로 132","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","11","0011","0000","영진부영1","59.987","202211","21","16,850","4","2005","영진3길 38","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","12","0012","0000","영진부영2","59.987","202211","12","21,000","6","2005","영진3길 43","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","380","0380","0000","영진부영3","84.9157","202211","13","23,000","1","2008","영진3길 15","","직거래","-"
"강원도 강릉시 유천동","778","0778","0000","엘에이치선수촌8단지","84.77","202211","1","58,000","10","2018","선수촌로 113","","중개거래","강원 강릉시"
"강원도 강릉시 유천동","778","0778","0000","엘에이치선수촌8단지","84.77","202211","23","58,000","17","2018","선수촌로 113","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","711","0711","0000","강릉더샵","74.71","202211","6","39,000","11","2014","입암로29번길 11","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","92-1","0092","0001","녹원","59.85","202211","22","13,500","5","1992","월대산로 57","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","84.7","202211","10","30,000","3","2006","성덕로 316-22","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","685","0685","0000","입암4주공","59.8","202211","14","18,000","14","1996","성덕포남로 89","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202211","17","13,900","10","1998","성덕포남로 39","","직거래","-"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202211","17","13,800","3","1998","성덕포남로 39","","직거래","-"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202211","17","13,900","9","1998","성덕포남로 39","","직거래","-"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","202211","29","18,800","15","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","440","0440","0000","입암현대","84.904","202211","10","26,000","7","1998","용지로 19","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","440","0440","0000","입암현대","84.904","202211","18","26,000","1","1998","용지로 19","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","39.348","202211","15","6,000","2","1998","강변로410번길 31-5","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","34.722","202211","17","6,000","9","1998","강변로410번길 31-5","","직거래","-"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","39.348","202211","28","7,500","13","1998","강변로410번길 31-5","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","202211","5","11,300","1","2000","연주로 241-7","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","39.51","202211","15","8,500","7","2000","연주로 241-7","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","1261","1261","0000","센텀파크디오션(1단지)","84.8819","202211","14","20,900","4","2015","매맥이윗길 15","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","44-1","0044","0001","소훈","67.89","202211","7","8,900","1","1991","매맥이길 14-3","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","1166-1","1166","0001","우신그린피아임대","59.98","202211","4","9,000","7","1999","보리골길 26","","직거래","-"
"강원도 강릉시 주문진읍 교항리","1166-1","1166","0001","우신그린피아임대","59.98","202211","16","8,000","4","1999","보리골길 26","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","430-1","0430","0001","유성","49.89","202211","21","7,500","4","1991","매맥이윗길 12-4","","직거래","-"
"강원도 강릉시 주문진읍 교항리","1269","1269","0000","주문진벽산블루밍오션힐스","59.9493","202211","8","21,360","15","2021","장성로 25","","직거래","-"
"강원도 강릉시 주문진읍 교항리","21","0021","0000","주문진서희스타힐스아파트","59.8411","202211","16","28,900","17","2020","연주로 281-21","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 주문리","1585","1585","0000","케이티레파트더블루힐","44.11","202211","1","8,000","2","2007","주문북로 147-32","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 주문리","1585","1585","0000","케이티레파트더블루힐","44.11","202211","11","9,000","14","2007","주문북로 147-32","","중개거래","강원 강릉시"
"강원도 강릉시 지변동","334","0334","0000","덕원임대","59.961","202211","24","10,000","9","1998","죽헌길85번길 25","","직거래","-"
"강원도 강릉시 포남동","1278-182","1278","0182","강릉2","55.857","202211","7","9,800","4","1987","성덕포남로146번길 26","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","422-3","0422","0003","대인4","128.25","202211","10","16,500","2","1995","강릉대로469번길 14","","직거래","-"
"강원도 강릉시 포남동","1005-248","1005","0248","동남","54.945","202211","17","8,000","5","1985","경강로2256번길 12","","직거래","-"
"강원도 강릉시 포남동","1005-253","1005","0253","동남2","54.945","202211","7","5,630","2","1986","경강로2234번길 15","","직거래","-"
"강원도 강릉시 포남동","1005-253","1005","0253","동남2","54.945","202211","8","10,500","1","1986","경강로2234번길 15","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1293-1","1293","0001","일송","59.135","202211","19","17,900","14","1995","하평3길 37","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1293-1","1293","0001","일송","59.135","202211","24","18,500","5","1995","하평3길 37","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1065","1065","0000","포남1주공","41.98","202211","11","13,000","5","1981","보래미상길 65","","직거래","-"
"강원도 강릉시 포남동","1065","1065","0000","포남1주공","41.98","202211","21","12,300","1","1981","보래미상길 65","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1200","1200","0000","포남2주공","39.69","202211","8","15,000","1","1989","산양큰길 37","","중개거래","강원 강릉시"
"강원도 강릉시 홍제동","125-1","0125","0001","미성","59.8","202211","28","9,000","1","1994","토성로 55","","직거래","-"
"강원도 강릉시 홍제동","1044","1044","0000","엘에이치미디어촌6단지","59.95","202211","6","33,000","19","2018","선수촌로 10","","중개거래","강원 강릉시"
"강원도 강릉시 홍제동","1044","1044","0000","엘에이치미디어촌6단지","59.78","202211","12","29,000","3","2018","선수촌로 10","","중개거래","강원 강릉시"
"강원도 강릉시 홍제동","1044","1044","0000","엘에이치미디어촌6단지","59.98","202211","19","29,000","3","2018","선수촌로 10","","중개거래","강원 강릉시"
"강원도 강릉시 홍제동","1055","1055","0000","홍제한신휴플러스","59.96","202211","1","28,000","16","2015","토성로 56","","중개거래","강원 강릉시"
"강원도 고성군 간성읍 상리","483-1","0483","0001","간성대명","39.6","202211","3","6,600","5","1998","수성로 126-5","","중개거래","강원 고성군"
"강원도 고성군 간성읍 상리","483-1","0483","0001","간성대명","59.4","202211","3","8,200","1","1998","수성로 126-5","","중개거래","강원 고성군"
"강원도 고성군 간성읍 상리","483-1","0483","0001","간성대명","39.6","202211","7","6,000","2","1998","수성로 126-5","","중개거래","강원 고성군"
"강원도 고성군 간성읍 신안리","111","0111","0000","고성삼익레스타운","59.68","202211","5","12,500","14","1998","남천마루2길 6","","중개거래","강원 고성군"
"강원도 고성군 간성읍 신안리","111","0111","0000","고성삼익레스타운","39.36","202211","9","5,900","4","1998","남천마루2길 6","","중개거래","경기 성남분당구"
"강원도 고성군 간성읍 신안리","111","0111","0000","고성삼익레스타운","59.68","202211","30","10,900","15","1998","남천마루2길 6","","중개거래","강원 고성군"
"강원도 고성군 간성읍 신안리","183","0183","0000","동해1","41.75","202211","14","7,000","5","1989","간성로39번길 23","","중개거래","강원 속초시"
"강원도 고성군 토성면 천진리","476","0476","0000","고성천진한신더휴","75.7237","202211","17","35,000","17","2021","천진7길 29","","중개거래","강원 고성군"
"강원도 동해시 동회동","442","0442","0000","대동1,2차","84.5525","202211","3","12,900","16","1995","청운1길 29","20221115","중개거래","강원 동해시"
"강원도 동해시 동회동","442","0442","0000","대동1,2차","45","202211","14","5,500","1","1995","청운1길 29","","직거래","-"
"강원도 동해시 동회동","442","0442","0000","대동1,2차","84.5525","202211","18","12,900","16","1995","청운1길 29","","중개거래","강원 동해시"
"강원도 동해시 동회동","442","0442","0000","대동1,2차","45","202211","19","6,250","1","1995","청운1길 29","","중개거래","강원 동해시"
"강원도 동해시 동회동","442","0442","0000","대동3차","45","202211","1","6,900","11","1996","청운1길 29","","중개거래","강원 동해시"
"강원도 동해시 동회동","442","0442","0000","현대4차","73.4675","202211","1","12,500","4","1998","청운1길 29","","직거래","-"
"강원도 동해시 발한동","233-67","0233","0067","강경","46.54","202211","28","4,450","5","1991","지리골길 36","","직거래","-"
"강원도 동해시 발한동","599-45","0599","0045","경민1차","53.14","202211","14","5,000","4","1990","수원지2길 18-13","","중개거래","강원 동해시"
"강원도 동해시 발한동","188","0188","0000","대창","59.956","202211","5","6,200","5","1999","향로3길 43","","중개거래","강원 동해시"
"강원도 동해시 발한동","516-1","0516","0001","삼화","50.85","202211","13","3,500","1","1991","동호3길 47","","직거래","-"
"강원도 동해시 발한동","183","0183","0000","성남2차","161.49","202211","1","18,500","6","1996","발한로 142","","직거래","-"
"강원도 동해시 부곡동","9-2","0009","0002","동성","61.56","202211","21","5,650","2","1987","부곡4길 26","","중개거래","강원 동해시"
"강원도 동해시 부곡동","73-1","0073","0001","동해","57.43","202211","9","4,150","2","1981","가마골길 42-10","","중개거래","강원 동해시"
"강원도 동해시 부곡동","112","0112","0000","삼정(다라)","32.11","202211","15","3,700","4","1986","부곡3길 22","","중개거래","강원 동해시"
"강원도 동해시 부곡동","64","0064","0000","성협1차","69.21","202211","12","4,800","3","1990","수원지1길 16","","중개거래","강원 동해시"
"강원도 동해시 부곡동","86-5","0086","0005","승우2차","59.88","202211","23","4,000","7","1994","부곡2길 7","","직거래","-"
"강원도 동해시 북평동","327","0327","0000","e편한세상동해","78.88","202211","11","30,000","13","2020","단봉길 39","","중개거래","강원 동해시"
"강원도 동해시 북평동","233","0233","0000","성협4차","59.02","202211","28","5,300","2","1992","단봉길 6","","직거래","-"
"강원도 동해시 쇄운동","1100","1100","0000","아름다운아침","49.95","202211","2","6,800","3","2012","효자로 572-1","","중개거래","강원 동해시"
"강원도 동해시 쇄운동","1100","1100","0000","아름다운아침","60","202211","24","9,400","14","2012","효자로 572-1","","중개거래","강원 동해시"
"강원도 동해시 용정동","260-2","0260","0002","범주성지","59.92","202211","5","10,500","4","1996","초원2길 5","","중개거래","강원 동해시"
"강원도 동해시 이도동","155","0155","0000","이도1주공","49.62","202211","2","6,950","9","1999","이원길 180-2","","중개거래","강원 동해시"
"강원도 동해시 이도동","155","0155","0000","이도1주공","49.62","202211","3","6,400","5","1999","이원길 180-2","","중개거래","강원 동해시"
"강원도 동해시 이도동","155","0155","0000","이도1주공","49.62","202211","5","6,900","7","1999","이원길 180-2","","중개거래","강원 동해시"
"강원도 동해시 이도동","155","0155","0000","이도1주공","49.62","202211","7","6,400","10","1999","이원길 180-2","","중개거래","강원 동해시"
"강원도 동해시 이도동","154","0154","0000","이도2주공","59.39","202211","3","10,500","8","1999","이원길 180-2","","중개거래","강원 동해시"
"강원도 동해시 이도동","154","0154","0000","이도2주공","59.39","202211","4","9,000","11","1999","이원길 180-2","","중개거래","강원 동해시"
"강원도 동해시 이로동","433-31","0433","0031","동해규수방","45.94","202211","2","2,500","3","2007","월평로 49","","중개거래","강원 동해시"
"강원도 동해시 이로동","433-31","0433","0031","동해규수방","45.94","202211","9","2,500","4","2007","월평로 49","","직거래","-"
"강원도 동해시 이로동","433-31","0433","0031","동해규수방","48.93","202211","21","3,500","1","2007","월평로 49","","직거래","-"
"강원도 동해시 이로동","433-31","0433","0031","동해규수방","41.94","202211","23","2,900","2","2007","월평로 49","","중개거래","강원 동해시"
"강원도 동해시 천곡동","1077","1077","0000","삼성","73.83","202211","21","13,800","8","1991","대학로 31","","중개거래","강원 동해시"
"강원도 동해시 천곡동","1060-2","1060","0002","센트로빌","79.7485","202211","8","15,000","8","2003","한섬로 73","","중개거래","강원 동해시"
"강원도 동해시 천곡동","1004-1","1004","0001","시영3차","49.94","202211","1","4,000","5","1994","동굴로 20","","중개거래","강원 동해시"
"강원도 동해시 천곡동","1004-1","1004","0001","시영3차","49.94","202211","19","4,800","5","1994","동굴로 20","","중개거래","강원 동해시"
"강원도 동해시 천곡동","1111","1111","0000","천곡금호어울림라포레","64.7915","202211","3","24,400","20","2020","항골길 65","","중개거래","강원 동해시"
"강원도 동해시 천곡동","1080","1080","0000","천곡주공1차","51.09","202211","8","7,800","5","1983","천곡로 20","","중개거래","강원 동해시"
"강원도 동해시 천곡동","415","0415","0000","천곡주공4차","46.68","202211","8","7,900","4","1989","샘실1길 5","","중개거래","강원 동해시"
"강원도 동해시 천곡동","415","0415","0000","천곡주공4차","39.69","202211","8","6,600","3","1989","샘실1길 5","","중개거래","강원 동해시"
"강원도 동해시 천곡동","415","0415","0000","천곡주공4차","39.99","202211","18","7,500","4","1989","샘실1길 5","","중개거래","강원 동해시"
"강원도 동해시 천곡동","794","0794","0000","한양2차","49.81","202211","7","7,000","5","1991","천곡로 15","","직거래","-"
"강원도 동해시 천곡동","794","0794","0000","한양2차","84.855","202211","23","15,700","8","1991","천곡로 15","","중개거래","강원 동해시"
"강원도 동해시 천곡동","794","0794","0000","한양3차","84.855","202211","14","14,000","11","1992","천곡로 15","","중개거래","강원 동해시"
"강원도 동해시 천곡동","380-2","0380","0002","현대1차","84.945","202211","17","15,000","2","1992","한섬로 8","","중개거래","강원 동해시"
"강원도 동해시 평릉동","450","0450","0000","엘리시아","84.9792","202211","5","27,700","3","2010","평원로 107","","중개거래","강원 동해시"
"강원도 동해시 효가동","481","0481","0000","동아더프라임2단지","59.9798","202211","14","14,800","14","2013","양지길 20-1","","중개거래","강원 동해시"
"강원도 동해시 효가동","248","0248","0000","명보2차","59.64","202211","7","7,250","7","1994","효가로 10-2","","중개거래","강원 동해시"
"강원도 동해시 효가동","362-34","0362","0034","유존양지","52.41","202211","19","2,500","6","1992","양지1길 21","","중개거래","강원 동해시"
"강원도 삼척시 건지동","176","0176","0000","코아루플러스","84.78","202211","24","24,600","10","2015","엑스포로 173","","중개거래","강원 삼척시"
"강원도 삼척시 교동","793","0793","0000","e편한세상삼척교동","59.8769","202211","7","19,200","35","2018","하실길 72","","중개거래","강원 삼척시"
"강원도 삼척시 교동","793","0793","0000","e편한세상삼척교동","59.8769","202211","10","19,500","25","2018","하실길 72","","중개거래","강원 삼척시"
"강원도 삼척시 교동","788","0788","0000","교동지웰","59.8194","202211","6","18,000","3","2018","동해대로 4183","","중개거래","강원 삼척시"
"강원도 삼척시 교동","757","0757","0000","교동청솔2차","59.85","202211","8","9,000","4","2003","정상로 81","","중개거래","강원 삼척시"
"강원도 삼척시 교동","757","0757","0000","교동청솔2차","59.85","202211","23","9,200","9","2003","정상로 81","","중개거래","강원 삼척시"
"강원도 삼척시 교동","501-5","0501","0005","동부","84.915","202211","21","13,200","3","1996","동해대로 4273","","중개거래","강원 강릉시"
"강원도 삼척시 교동","650","0650","0000","동화2차","68.45","202211","6","5,000","4","1991","대학로안길 36","","중개거래","강원 삼척시"
"강원도 삼척시 교동","650","0650","0000","동화2차","70.7","202211","24","6,800","5","1991","대학로안길 36","","중개거래","강원 삼척시"
"강원도 삼척시 남양동","5-6","0005","0006","강부맨션","64.25","202211","28","8,858","12","1991","봉황로 91-36","","직거래","-"
"강원도 삼척시 남양동","337-1","0337","0001","백조2차맨션","93.42","202211","19","13,000","3","1989","남양길 13-54","","중개거래","강원 삼척시"
"강원도 삼척시 당저동","144-2","0144","0002","경남","54.56","202211","21","5,900","4","1991","대학로 39","","직거래","-"
"강원도 삼척시 도계읍 도계리","424","0424","0000","대한뷰티","59.96","202211","4","4,300","9","2003","도계대한길 72","","직거래","-"
"강원도 삼척시 마달동","53-4","0053","0004","누가","27.18","202211","11","2,100","4","1995","마달1길 75","","직거래","-"
"강원도 삼척시 마달동","53-4","0053","0004","누가","27.18","202211","11","2,400","4","1995","마달1길 75","","중개거래","강원 삼척시"
"강원도 삼척시 마달동","53-4","0053","0004","누가","27.18","202211","17","1,900","6","1995","마달1길 75","","직거래","-"
"강원도 삼척시 마달동","124","0124","0000","혜진1","52.94","202211","14","4,000","5","1992","마달길 220","","중개거래","강원 삼척시"
"강원도 삼척시 마달동","124","0124","0000","혜진1","59.14","202211","14","4,000","4","1992","마달길 220","","직거래","-"
"강원도 삼척시 마달동","124","0124","0000","혜진1","59.14","202211","28","6,300","1","1992","마달길 220","","직거래","-"
"강원도 삼척시 사직동","319-1","0319","0001","원조임대","59.886","202211","15","6,900","4","1997","사직로4길 40-11","","중개거래","강원 삼척시"
"강원도 삼척시 원덕읍 호산리","213-1","0213","0001","삼보빌라","90","202211","10","8,400","3","1993","호산2길 114-5","","직거래","-"
"강원도 삼척시 정상동","356-2","0356","0002","강부3차","27.36","202211","6","3,400","2","1995","동해대로 4122-20","","중개거래","강원 삼척시"
"강원도 삼척시 정상동","457-3","0457","0003","석미","56.97","202211","2","8,000","13","1998","청석로 78","","중개거래","강원 삼척시"
"강원도 삼척시 정상동","457-3","0457","0003","석미","56.97","202211","5","7,900","8","1998","청석로 78","","중개거래","강원 삼척시"
"강원도 삼척시 정상동","455-1","0455","0001","영진(다)","51.09","202211","11","3,500","4","1990","동해대로 4025-10","","중개거래","강원 삼척시"
"강원도 삼척시 정상동","455-2","0455","0002","영진(라)","49.94","202211","15","4,650","3","1992","동해대로 4025-10","","중개거래","강원 삼척시"
"강원도 삼척시 정상동","316-3","0316","0003","유성","59.43","202211","7","5,750","4","1999","동해대로 4044-13","","직거래","-"
"강원도 속초시 교동","781-12","0781","0012","계명","30.21","202211","8","5,850","10","1996","미시령로 3373-7","","중개거래","강원 속초시"
"강원도 속초시 교동","904-1","0904","0001","근로자(개나리)","49.94","202211","1","10,000","3","1991","만천4길 46","","중개거래","강원 속초시"
"강원도 속초시 교동","783","0783","0000","대명늘푸른","39.8354","202211","12","9,800","12","2000","미시령로3337번길 10","","중개거래","강원 속초시"
"강원도 속초시 교동","783","0783","0000","대명늘푸른","39.8354","202211","25","9,900","2","2000","미시령로3337번길 10","","중개거래","강원 속초시"
"강원도 속초시 교동","781-1","0781","0001","동부","84.96","202211","4","20,000","9","1997","미시령로3359번길 15","","중개거래","강원 속초시, 서울 강남구"
"강원도 속초시 교동","781-1","0781","0001","동부","84.96","202211","4","21,500","10","1997","미시령로3359번길 15","","중개거래","강원 속초시"
"강원도 속초시 교동","781-1","0781","0001","동부","60","202211","8","15,300","16","1997","미시령로3359번길 15","","중개거래","강원 속초시"
"강원도 속초시 교동","781-1","0781","0001","동부","84.96","202211","16","20,400","17","1997","미시령로3359번길 15","","중개거래","강원 속초시"
"강원도 속초시 교동","800-68","0800","0068","로얄2","49.74","202211","17","9,000","2","1987","만리공원길 16","","중개거래","강원 속초시"
"강원도 속초시 교동","1027","1027","0000","명지미래힐","84.9295","202211","24","28,000","17","2006","미시령로3337번길 20","","중개거래","강원 속초시"
"강원도 속초시 교동","924","0924","0000","삼호","39.906","202211","4","8,200","2","1995","밤골3길 27","","중개거래","강원 속초시"
"강원도 속초시 교동","924","0924","0000","삼호","39.906","202211","14","7,650","3","1995","밤골3길 27","","직거래","-"
"강원도 속초시 교동","923","0923","0000","삼환","96.42","202211","4","18,800","2","1994","밤골3길 39","","중개거래","강원 속초시"
"강원도 속초시 교동","923","0923","0000","삼환","54.58","202211","9","11,900","1","1994","밤골3길 39","","중개거래","강원 속초시"
"강원도 속초시 교동","923","0923","0000","삼환","54.58","202211","21","11,650","9","1994","밤골3길 39","","중개거래","강원 속초시"
"강원도 속초시 교동","619-33","0619","0033","설악현대","71.137","202211","3","16,500","13","1992","미시령로3389번길 10","","중개거래","강원 속초시"
"강원도 속초시 교동","658-42","0658","0042","속초교동블루핀","24.88","202211","7","11,900","15","2019","교동로1길 17","","중개거래","강원 속초시"
"강원도 속초시 교동","627-306","0627","0306","속초대명3","59.93","202211","28","10,500","13","1994","교동로7길 26","","중개거래","강원 속초시"
"강원도 속초시 교동","898","0898","0000","주공2","39.69","202211","1","15,000","1","1990","번영로43번길 52","","중개거래","강원 속초시"
"강원도 속초시 교동","898","0898","0000","주공2","39.99","202211","7","14,900","4","1990","번영로43번길 33","","중개거래","강원 속초시"
"강원도 속초시 교동","961","0961","0000","청초대우","84.97","202211","1","23,500","14","1998","동해대로 4271","","중개거래","강원 속초시"
"강원도 속초시 교동","618-10","0618","0010","현대1","75.24","202211","14","17,700","14","1991","미시령로3359번길 9","","중개거래","강원 속초시"
"강원도 속초시 금호동","622-66","0622","0066","서울대명2","84.63","202211","8","22,000","15","1993","미시령로 3429","","중개거래","강원 속초시"
"강원도 속초시 영랑동","157","0157","0000","양우비치타워맨션","59.985","202211","7","17,000","6","1990","영랑로4길 10","","중개거래","강원 속초시"
"강원도 속초시 장사동","650","0650","0000","속초대희지센트","84.8714","202211","11","25,000","2","2013","사진길 34","","중개거래","강원 속초시"
"강원도 속초시 조양동","1568","1568","0000","대광로제비앙","84.8533","202211","28","32,000","7","2009","온정로1길 11-8","","중개거래","강원 속초시"
"강원도 속초시 조양동","1501","1501","0000","부영5","50","202211","23","14,300","12","1995","청대로204번길 40","","중개거래","강원 속초시"
"강원도 속초시 조양동","1502","1502","0000","부영6","50","202211","7","13,000","13","1995","조양로 163","","중개거래","강원 속초시"
"강원도 속초시 조양동","1294-23","1294","0023","성호","59.76","202211","8","15,800","3","2001","청대로 8","","중개거래","강원 속초시"
"강원도 속초시 조양동","1294-23","1294","0023","성호","49.65","202211","10","13,500","8","2001","청대로 22-7","","중개거래","강원 속초시"
"강원도 속초시 조양동","1294-23","1294","0023","성호","59.76","202211","10","14,800","16","2001","청대로 8","","중개거래","강원 속초시"
"강원도 속초시 조양동","1294-23","1294","0023","성호","59.76","202211","23","15,000","9","2001","청대로 22-7","","중개거래","강원 속초시"
"강원도 속초시 조양동","1294-23","1294","0023","성호","59.76","202211","28","15,000","5","2001","청대로 8","","직거래","-"
"강원도 속초시 조양동","1572","1572","0000","속초KCC스위첸","74.5213","202211","5","38,500","25","2019","청대로 40","","중개거래","강원 속초시, 서울 성동구"
"강원도 속초시 조양동","1586","1586","0000","속초자이","84.9974","202211","9","48,000","22","2020","조양로 181","","중개거래","강원 속초시"
"강원도 속초시 조양동","1586","1586","0000","속초자이","84.9974","202211","9","48,000","22","2020","조양로 181","20221124","중개거래","강원 속초시"
"강원도 속초시 조양동","1586","1586","0000","속초자이","84.9974","202211","23","48,800","12","2020","조양로 181","","중개거래","강원 속초시"
"강원도 속초시 조양동","1569","1569","0000","속초조양양우내안애아파트","59.7891","202211","9","27,900","6","2015","온정로1길 30","","중개거래","강원 속초시"
"강원도 속초시 조양동","1569","1569","0000","속초조양양우내안애아파트","59.9956","202211","12","28,000","12","2015","온정로1길 30","","중개거래","강원 속초시"
"강원도 속초시 조양동","1411-146","1411","0146","속초조양코아루아리스타","21.4649","202211","16","15,000","26","2021","동해대로 4008","","중개거래","강원 속초시"
"강원도 속초시 조양동","1411-146","1411","0146","속초조양코아루아리스타","35.8665","202211","19","25,000","26","2021","동해대로 4008","","중개거래","강원 속초시"
"강원도 속초시 조양동","1217-1","1217","0001","조양1주공","59.99","202211","17","17,400","3","1998","온정로 6","","중개거래","강원 속초시"
"강원도 속초시 조양동","1217-1","1217","0001","조양1주공","59.99","202211","26","17,500","15","1998","온정로 6","","중개거래","강원 속초시"
"강원도 속초시 조양동","1217-1","1217","0001","조양1주공","59.99","202211","27","14,500","5","1998","온정로 6","","중개거래","강원 속초시"
"강원도 속초시 조양동","1585","1585","0000","조양동휴먼빌아파트","79.2927","202211","26","35,000","2","2020","논산길 17","","중개거래","강원 속초시"
"강원도 속초시 조양동","1463-4","1463","0004","한신","51.45","202211","15","28,500","1","1990","해오름로 149","","직거래","-"
"강원도 양구군 양구읍 정림리","177","0177","0000","양구보배","84.69","202211","7","12,800","4","1992","박수근로 322","","직거래","-"
"강원도 양구군 양구읍 정림리","436","0436","0000","양구석미모닝파크","84.9","202211","17","18,500","8","2010","박수근로313번길 17","","직거래","-"
"강원도 양양군 강현면 정암리","162-6","0162","0006","썬라이즈빌","38.6382","202211","18","19,300","3","2004","정암1길 13-24","","중개거래","강원 속초시"
"강원도 양양군 손양면 하왕도리","303","0303","0000","삼호","39.6","202211","11","7,900","2","1998","손중로 211-8","","중개거래","강원 양양군"
"강원도 양양군 양양읍 내곡리","61","0061","0000","하이펠리스","84.6","202211","7","16,500","1","2007","내곡길 18","","중개거래","강원 양양군"
"강원도 양양군 양양읍 내곡리","263","0263","0000","한양수자인","76.8487","202211","28","33,000","21","2020","한고개길 31-46","","직거래","-"
"강원도 양양군 양양읍 서문리","414","0414","0000","양양서문주공","51.85","202211","4","10,700","11","2005","양양로 154-9","","직거래","-"
"강원도 양양군 양양읍 서문리","419","0419","0000","양양코아루","73.8029","202211","28","25,500","14","2016","임천1길 26-3","","중개거래","강원 양양군"
"강원도 양양군 양양읍 연창리","358","0358","0000","양우내안애","83.9688","202211","18","26,500","5","2018","미륵길 40","","중개거래","강원 양양군"
